feature	csFTC-2_1	csFTC-3_1	csFTC-4_1	csFTC-5_1	csFTC-6_1	csFTC-7_1	csFTC-8_1	csFTC-10_1	csFTC-11_1	csFTC-13_1	csFTC-14_1	csFTC-15_1	csFTC-20_1	csFTC-1_1	csFTC-16_1	csFTC-17_1	csFTC-18_1	csFTC-19_1	csFTC-21_1	csFTC-22_1	csFTA-1_1	csFTA-2_1	csFTA-3_1	csFTA-4_1	csFTA-6_1	csFTA-10_1	csFTA-11_1	csFTA-12_1	csFTA-13_1	csFTA-15_1	csFTA-16_1	csFTA-17_1	csFTA-18_1	csFTA-9_1	csFTA-20_1	csFTA-23_1	csFTA-24_1
L1MC4::chr10:937342-937872(+)_60_100_+|genomic|L1MC4::chr10:937342-937872(+)_60_100_+|peak_3570|L1MC4::chr10:937342-937872(+)|60|100	36	2	11	2	0	0	17	12	6	3	4	6	0	6	4	1	5	9	5	5	4	2	4	3	0	15	0	0	22	13	4	7	15	13	4	5	9
L1MC4::chr12:3559038-3559661(-)_560_600_+|genomic|L1MC4::chr12:3559038-3559661(-)_560_600_+|peak_3571|L1MC4::chr12:3559038-3559661(-)|560|600	70	10	33	9	12	8	32	36	17	16	35	16	3	12	5	15	7	14	6	17	16	5	10	12	12	36	4	5	34	40	16	24	41	35	20	20	13
L1MC4::chr13:107035804-107037076(-)_1100_1120_+|genomic|L1MC4::chr13:107035804-107037076(-)_1100_1120_+|peak_3572|L1MC4::chr13:107035804-107037076(-)|1100|1120	0	17	31	2	1	25	19	19	23	4	31	18	14	11	2	14	9	20	0	14	20	18	18	10	20	25	0	9	0	16	13	13	30	24	29	18	28
L1MC4::chr21:33129670-33130419(-)_480_520_+|genomic|L1MC4::chr21:33129670-33130419(-)_480_520_+|peak_3573|L1MC4::chr21:33129670-33130419(-)|480|520	1	16	14	7	0	0	8	7	21	9	22	14	0	25	4	18	13	12	0	25	7	13	10	9	0	10	0	1	0	6	14	15	63	11	81	17	27
L1MC4::chr8:134693624-134694523(+)_620_660_+|genomic|L1MC4::chr8:134693624-134694523(+)_620_660_+|peak_3574|L1MC4::chr8:134693624-134694523(+)|620|660	0	12	20	4	0	2	15	15	9	8	26	14	0	15	1	6	6	4	0	16	2	5	6	6	2	18	0	1	0	18	14	10	39	14	52	14	25
L1MC5::chr1:35939741-35940071(-)_200_240_+|genomic|L1MC5::chr1:35939741-35940071(-)_200_240_+|peak_3575|L1MC5::chr1:35939741-35940071(-)|200|240	1	1	23	2	1	2	16	15	5	0	2	1	1	0	4	2	0	6	0	2	4	3	1	3	4	15	0	2	0	17	4	2	0	2	2	8	6
L1MC5::chr3:11123395-11123517(-)_0_40_+|genomic|L1MC5::chr3:11123395-11123517(-)_0_40_+|peak_3576|L1MC5::chr3:11123395-11123517(-)|0|40	5	0	2	2	0	0	17	17	0	0	0	1	0	0	0	14	1	1	0	0	2	0	0	0	0	18	0	0	32	22	2	0	0	0	0	0	2
L1MC5::chr4:17635482-17635755(-)_220_260_+|genomic|L1MC5::chr4:17635482-17635755(-)_220_260_+|peak_3577|L1MC5::chr4:17635482-17635755(-)|220|260	43	1	0	0	14	0	0	0	0	2	1	9	0	2	2	0	0	1	40	0	0	1	1	0	1	0	3	0	19	0	1	1	2	5	2	1	2
L1MC5::chr7:147601042-147601203(-)_100_140_+|genomic|L1MC5::chr7:147601042-147601203(-)_100_140_+|peak_3578|L1MC5::chr7:147601042-147601203(-)|100|140	11	4	1	3	0	1	2	1	27	21	5	25	1	25	8	10	10	7	31	28	0	0	4	2	3	0	0	2	3	1	12	24	28	7	39	27	14
L1MC5a::chr10:29044103-29044437(+)_100_140_+|genomic|L1MC5a::chr10:29044103-29044437(+)_100_140_+|peak_3579|L1MC5a::chr10:29044103-29044437(+)|100|140	23	2	22	3	23	10	47	0	0	4	1	3	1	0	10	7	4	4	4	0	1	6	50	37	8	0	19	2	2	6	13	1	6	2	23	1	10
L1MC5a::chr3:69629471-69629997(+)_0_40_+|genomic|L1MC5a::chr3:69629471-69629997(+)_0_40_+|peak_3580|L1MC5a::chr3:69629471-69629997(+)|0|40	34	0	0	0	11	0	0	0	0	0	1	0	0	0	1	0	0	1	19	0	1	0	0	0	0	2	14	0	11	0	0	0	0	1	0	0	0
L1MC::chr2:162123567-162123793(+)_200_226_+|genomic|L1MC::chr2:162123567-162123793(+)_200_226_+|peak_3581|L1MC::chr2:162123567-162123793(+)|200|226	68	2	2	1	59	0	1	1	2	2	3	4	0	2	2	3	1	2	16	0	1	2	1	1	2	1	3	0	70	2	1	1	4	3	8	0	2
L1MCa::chr8:1709519-1710208(+)_240_280_+|genomic|L1MCa::chr8:1709519-1710208(+)_240_280_+|peak_3582|L1MCa::chr8:1709519-1710208(+)|240|280	0	0	3	2	0	0	54	53	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	56	0	0	129	74	0	1	0	0	0	0	0
L1MCa::chr8_KI270926v1_alt:122180-122869(+)_240_280_+|genomic|L1MCa::chr8_KI270926v1_alt:122180-122869(+)_240_280_+|peak_3583|L1MCa::chr8_KI270926v1_alt:122180-122869(+)|240|280	0	0	2	2	0	0	63	49	2	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	56	0	0	130	80	0	1	0	0	0	0	0
L1MD1::chr4:97313844-97314339(-)_60_100_+|genomic|L1MD1::chr4:97313844-97314339(-)_60_100_+|peak_3584|L1MD1::chr4:97313844-97314339(-)|60|100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0
L1MD1::chr9:107952402-107952827(+)_140_180_+|genomic|L1MD1::chr9:107952402-107952827(+)_140_180_+|peak_3585|L1MD1::chr9:107952402-107952827(+)|140|180	0	51	9	18	0	19	7	12	76	148	62	134	10	131	25	97	100	118	0	151	9	15	17	18	32	8	0	6	0	16	110	109	168	67	179	160	103
L1MD2::chr14:62946629-62947194(+)_280_300_+|genomic|L1MD2::chr14:62946629-62947194(+)_280_300_+|peak_3586|L1MD2::chr14:62946629-62947194(+)|280|300	36	5	23	4	7	8	59	62	5	4	7	4	4	2	2	2	0	0	4	5	8	7	6	6	11	59	3	6	77	74	3	1	3	6	3	3	4
L1MD2::chrX:43228861-43231499(+)_920_960_+|genomic|L1MD2::chrX:43228861-43231499(+)_920_960_+|peak_3587|L1MD2::chrX:43228861-43231499(+)|920|960	0	6	7	5	0	6	7	7	27	16	19	37	1	8	1	13	10	11	0	21	4	4	3	4	6	4	0	2	0	8	5	17	20	13	28	13	12
L1MD2::chrX:55553855-55554084(+)_40_80_+|genomic|L1MD2::chrX:55553855-55554084(+)_40_80_+|peak_3588|L1MD2::chrX:55553855-55554084(+)|40|80	2	34	5	14	0	8	13	11	47	89	28	75	6	95	49	92	82	78	3	103	6	9	15	13	19	9	0	1	0	10	73	92	117	44	107	124	87
L1ME1::chr2:117345097-117345815(+)_40_80_+|genomic|L1ME1::chr2:117345097-117345815(+)_40_80_+|peak_3589|L1ME1::chr2:117345097-117345815(+)|40|80	0	0	0	0	0	0	19	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	38	24	0	0	0	0	0	0	0
L1ME1::chr3:107276310-107277392(+)_40_60_+|genomic|L1ME1::chr3:107276310-107277392(+)_40_60_+|peak_3590|L1ME1::chr3:107276310-107277392(+)|40|60	0	1	0	3	0	0	16	18	3	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	14	1	0	13	22	5	0	1	0	0	0	6
L1ME1::chr5:105382266-105383890(+)_380_420_+|genomic|L1ME1::chr5:105382266-105383890(+)_380_420_+|peak_3591|L1ME1::chr5:105382266-105383890(+)|380|420	15	4	12	2	1	3	11	6	1	3	7	4	0	1	0	3	1	3	0	1	2	7	4	1	1	10	1	0	12	10	2	3	0	3	6	2	1
L1ME1::chr9:1081718-1081877(+)_120_140_+|genomic|L1ME1::chr9:1081718-1081877(+)_120_140_+|peak_3592|L1ME1::chr9:1081718-1081877(+)|120|140	8	7	3	26	1	1	68	70	11	2	16	1	0	0	2	24	2	0	0	2	0	1	0	1	0	67	0	0	122	90	3	0	0	1	0	1	8
L1ME1::chrX:150029641-150030834(+)_60_100_+|genomic|L1ME1::chrX:150029641-150030834(+)_60_100_+|peak_3593|L1ME1::chrX:150029641-150030834(+)|60|100	0	5	8	4	0	0	22	21	26	16	27	21	1	33	3	16	7	14	0	26	0	9	4	5	0	22	0	1	0	23	17	21	39	37	40	25	38
L1ME1::chrX:40768227-40768363(-)_100_120_+|genomic|L1ME1::chrX:40768227-40768363(-)_100_120_+|peak_3594|L1ME1::chrX:40768227-40768363(-)|100|120	30	34	2	7	4	12	6	9	43	55	53	88	0	67	25	47	57	43	56	82	6	15	5	14	21	11	1	3	17	11	46	65	84	28	64	75	50
L1ME2::chr12:125448262-125448964(-)_400_420_+|genomic|L1ME2::chr12:125448262-125448964(-)_400_420_+|peak_3595|L1ME2::chr12:125448262-125448964(-)|400|420	54	5	9	1	1	0	6	7	13	18	21	13	0	1	1	7	7	6	17	14	1	3	5	6	0	6	0	1	25	7	13	11	17	21	15	11	9
L1ME2::chr1:180474963-180475102(-)_20_60_+|genomic|L1ME2::chr1:180474963-180475102(-)_20_60_+|peak_3596|L1ME2::chr1:180474963-180475102(-)|20|60	3	47	22	16	2	17	10	17	100	117	86	166	4	101	39	55	86	73	5	120	24	14	12	10	5	13	3	10	1	15	74	87	92	46	120	104	48
L1ME2z::chr11:94699396-94699691(+)_220_260_+|genomic|L1ME2z::chr11:94699396-94699691(+)_220_260_+|peak_3597|L1ME2z::chr11:94699396-94699691(+)|220|260	198	56	101	39	1	1	108	111	161	98	198	132	3	86	61	85	151	133	71	88	39	21	24	33	1	110	0	0	144	116	143	157	211	267	161	214	129
L1ME2z::chr5:107754929-107756341(+)_1320_1360_+|genomic|L1ME2z::chr5:107754929-107756341(+)_1320_1360_+|peak_3598|L1ME2z::chr5:107754929-107756341(+)|1320|1360	14	15	43	8	11	23	39	37	9	4	26	16	4	6	0	5	4	9	0	16	13	5	15	8	7	41	1	1	9	36	7	7	12	21	18	6	4
L1ME3A::chr11:109295015-109295478(+)_280_320_+|genomic|L1ME3A::chr11:109295015-109295478(+)_280_320_+|peak_3599|L1ME3A::chr11:109295015-109295478(+)|280|320	27	28	28	48	20	33	110	93	4	3	7	4	12	0	10	99	1	3	2	1	8	6	2	6	23	97	8	9	75	140	46	15	13	3	7	3	35
L1ME3A::chr2:209899490-209899940(-)_160_200_+|genomic|L1ME3A::chr2:209899490-209899940(-)_160_200_+|peak_3600|L1ME3A::chr2:209899490-209899940(-)|160|200	18	8	17	0	0	0	6	8	8	7	19	10	1	6	5	10	6	14	13	7	6	4	6	6	0	9	0	0	7	6	11	17	8	47	19	7	8
L1ME3B::chr15:50380908-50381161(+)_0_40_+|genomic|L1ME3B::chr15:50380908-50381161(+)_0_40_+|peak_3601|L1ME3B::chr15:50380908-50381161(+)|0|40	21	12	20	9	0	0	9	9	31	24	31	26	0	20	24	23	24	40	12	36	3	2	5	5	0	12	0	4	12	14	45	43	66	86	47	51	38
L1ME3B::chr17:12529190-12530012(-)_680_720_+|genomic|L1ME3B::chr17:12529190-12530012(-)_680_720_+|peak_3602|L1ME3B::chr17:12529190-12530012(-)|680|720	0	29	11	13	1	31	19	12	81	99	54	109	5	68	25	88	87	88	0	144	12	12	15	9	43	16	0	8	0	16	68	73	124	25	173	127	88
L1ME3B::chr2:152541492-152541634(-)_20_60_+|genomic|L1ME3B::chr2:152541492-152541634(-)_20_60_+|peak_3603|L1ME3B::chr2:152541492-152541634(-)|20|60	21	1	16	2	30	6	4	6	1	0	0	0	3	1	0	1	0	0	13	2	0	1	3	0	11	5	14	4	20	5	0	1	0	0	0	0	0
L1ME3D::chr2:13151963-13152780(+)_180_220_+|genomic|L1ME3D::chr2:13151963-13152780(+)_180_220_+|peak_3604|L1ME3D::chr2:13151963-13152780(+)|180|220	3	4	16	0	0	3	2	4	1	0	0	0	13	0	0	1	0	0	0	0	1	3	1	0	0	4	0	2	1	5	0	0	5	0	0	1	0
L1ME3G::chr11:62870549-62870708(-)_100_140_+|genomic|L1ME3G::chr11:62870549-62870708(-)_100_140_+|peak_3605|L1ME3G::chr11:62870549-62870708(-)|100|140	8	2	23	1	80	0	5	1	0	0	1	1	4	2	1	0	0	1	0	0	1	2	1	4	4	5	1	2	4	3	0	0	2	0	0	1	1
L1ME4a::chr16:77885981-77886134(-)_0_40_+|genomic|L1ME4a::chr16:77885981-77886134(-)_0_40_+|peak_3606|L1ME4a::chr16:77885981-77886134(-)|0|40	12	10	11	11	6	28	8	9	18	6	8	13	8	12	4	10	10	3	7	14	5	14	4	10	30	12	13	8	13	11	8	10	24	12	24	10	2
L1ME4a::chr3:16847554-16847779(-)_120_160_+|genomic|L1ME4a::chr3:16847554-16847779(-)_120_160_+|peak_3607|L1ME4a::chr3:16847554-16847779(-)|120|160	28	4	10	2	0	2	20	17	9	6	14	11	0	5	2	5	5	4	4	10	4	9	5	3	0	26	0	0	19	17	11	8	18	19	19	10	9
L1ME4a::chr6:54600316-54600697(+)_100_140_+|genomic|L1ME4a::chr6:54600316-54600697(+)_100_140_+|peak_3608|L1ME4a::chr6:54600316-54600697(+)|100|140	0	12	3	6	2	7	6	7	43	58	37	42	1	38	13	57	42	59	0	108	3	6	6	9	14	6	0	5	0	9	51	65	37	21	68	53	53
L1ME4b::chr15:32205312-32206148(+)_520_560_+|genomic|L1ME4b::chr15:32205312-32206148(+)_520_560_+|peak_3609|L1ME4b::chr15:32205312-32206148(+)|520|560	0	8	9	3	0	6	6	6	30	53	34	58	0	28	21	28	22	33	0	58	6	2	3	4	9	9	0	2	0	10	30	56	22	23	56	37	33
L1ME4b::chr15_KI270905v1_alt:4490991-4491827(+)_520_560_+|genomic|L1ME4b::chr15_KI270905v1_alt:4490991-4491827(+)_520_560_+|peak_3610|L1ME4b::chr15_KI270905v1_alt:4490991-4491827(+)|520|560	0	10	9	3	0	7	4	6	32	46	37	48	0	21	24	28	24	37	0	53	3	3	3	5	10	7	0	2	0	10	31	51	20	27	45	35	28
L1ME4b::chr17:48690016-48690133(+)_80_100_+|genomic|L1ME4b::chr17:48690016-48690133(+)_80_100_+|peak_3611|L1ME4b::chr17:48690016-48690133(+)|80|100	91	20	57	9	1	0	24	31	21	23	61	30	3	44	24	21	46	24	7	54	29	13	25	14	0	32	1	1	34	26	30	16	51	72	72	24	45
L1ME4b::chr5:123010601-123010982(-)_340_380_+|genomic|L1ME4b::chr5:123010601-123010982(-)_340_380_+|peak_3612|L1ME4b::chr5:123010601-123010982(-)|340|380	5	6	36	1	0	1	7	8	0	0	0	0	9	0	0	2	0	0	0	1	4	8	4	0	0	8	0	0	0	9	0	1	1	1	0	1	0
L1ME4c::chr3:79698033-79698172(+)_100_139_+|genomic|L1ME4c::chr3:79698033-79698172(+)_100_139_+|peak_3613|L1ME4c::chr3:79698033-79698172(+)|100|139	4	6	2	9	1	1	18	16	5	1	8	5	2	3	0	10	1	0	1	0	1	1	4	5	0	20	0	1	9	20	5	1	7	4	14	7	5
L1ME5::chrX:151759835-151760973(-)_160_200_+|genomic|L1ME5::chrX:151759835-151760973(-)_160_200_+|peak_3614|L1ME5::chrX:151759835-151760973(-)|160|200	0	63	95	37	0	1	110	106	58	69	59	57	2	127	38	102	90	94	0	81	31	33	44	33	0	121	0	4	0	124	112	53	222	112	228	169	172
L1MEb::chr13:99631917-99632459(+)_160_180_+|genomic|L1MEb::chr13:99631917-99632459(+)_160_180_+|peak_3615|L1MEb::chr13:99631917-99632459(+)|160|180	7	7	3	1	0	0	77	72	10	0	1	1	1	1	1	4	0	0	2	0	1	0	0	0	2	76	0	0	181	79	31	2	2	6	0	1	38
L1MEc::chr11:108488815-108489073(+)_100_140_+|genomic|L1MEc::chr11:108488815-108489073(+)_100_140_+|peak_3616|L1MEc::chr11:108488815-108489073(+)|100|140	76	4	17	1	0	0	7	7	0	0	0	0	7	1	0	2	2	4	0	0	0	0	3	0	0	9	0	0	8	9	0	0	3	2	4	2	0
L1MEf::chr15:84849154-84850187(+)_900_940_+|genomic|L1MEf::chr15:84849154-84850187(+)_900_940_+|peak_3617|L1MEf::chr15:84849154-84850187(+)|900|940	5	3	1	8	1	0	33	33	2	0	1	1	0	0	3	46	0	0	1	3	2	1	1	1	1	29	1	0	54	43	10	2	0	0	0	2	4
L1MEg::chr1:230214950-230215538(-)_240_260_+|genomic|L1MEg::chr1:230214950-230215538(-)_240_260_+|peak_3618|L1MEg::chr1:230214950-230215538(-)|240|260	0	14	0	0	0	0	24	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	27	0	0	26	25	0	1	0	0	0	0	1
L1PA10::chr3:179874-180145(+)_120_160_+|genomic|L1PA10::chr3:179874-180145(+)_120_160_+|peak_3619|L1PA10::chr3:179874-180145(+)|120|160	1	30	17	10	0	12	8	6	52	56	63	103	1	60	27	44	58	33	1	75	3	16	17	13	8	8	0	1	0	10	34	53	121	31	96	68	42
L1PA13::chr5:120343727-120344835(+)_520_560_+|genomic|L1PA13::chr5:120343727-120344835(+)_520_560_+|peak_3620|L1PA13::chr5:120343727-120344835(+)|520|560	33	37	6	8	3	5	5	3	70	86	62	142	2	50	10	51	38	52	75	99	8	12	14	11	9	3	2	4	5	3	51	107	48	48	90	45	46
L1PA16::chr4:85130580-85134021(-)_2480_2520_+|genomic|L1PA16::chr4:85130580-85134021(-)_2480_2520_+|peak_3621|L1PA16::chr4:85130580-85134021(-)|2480|2520	51	2	25	2	93	5	6	7	0	0	2	1	9	0	2	0	0	0	0	3	1	4	2	4	8	8	5	3	10	7	0	1	1	0	0	1	1
L1PA5::chr16:51329809-51335954(+)_700_740_+|genomic|L1PA5::chr16:51329809-51335954(+)_700_740_+|peak_3622|L1PA5::chr16:51329809-51335954(+)|700|740	0	6	4	6	0	0	6	5	36	5	25	52	3	6	2	18	27	6	0	22	4	5	3	6	3	4	0	0	0	4	18	25	10	22	9	12	14
L1PA6::chr5:30484383-30486652(-)_1940_1980_+|genomic|L1PA6::chr5:30484383-30486652(-)_1940_1980_+|peak_3623|L1PA6::chr5:30484383-30486652(-)|1940|1980	0	5	2	0	0	0	22	22	1	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	0	20	0	0	23	21	8	3	0	0	0	0	10
L1PA6::chr8:31514145-31520256(-)_3440_3480_+|genomic|L1PA6::chr8:31514145-31520256(-)_3440_3480_+|peak_3624|L1PA6::chr8:31514145-31520256(-)|3440|3480	5	4	0	13	0	0	29	28	1	0	0	0	0	1	1	28	0	0	1	0	1	0	0	0	0	35	0	0	37	45	14	1	0	0	1	0	10
L1PA7::chr5:21225330-21231407(+)_3240_3260_+|genomic|L1PA7::chr5:21225330-21231407(+)_3240_3260_+|peak_3625|L1PA7::chr5:21225330-21231407(+)|3240|3260	16	9	0	4	3	8	1	1	16	35	18	41	2	16	4	25	18	37	33	46	2	1	2	9	5	2	0	3	3	3	30	52	19	12	37	34	28
L1PA8A::chr4:172192379-172193580(+)_880_920_+|genomic|L1PA8A::chr4:172192379-172193580(+)_880_920_+|peak_3626|L1PA8A::chr4:172192379-172193580(+)|880|920	7	7	3	4	1	3	5	7	36	28	33	62	0	46	8	28	31	39	18	55	3	1	2	3	4	5	0	0	1	8	30	33	58	20	85	46	31
L1PREC2::chr7:17446247-17450571(-)_1200_1240_+|genomic|L1PREC2::chr7:17446247-17450571(-)_1200_1240_+|peak_3627|L1PREC2::chr7:17446247-17450571(-)|1200|1240	3	0	0	0	0	0	53	53	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	60	0	0	87	58	0	0	1	0	0	0	1
L2-3_Crp::chr17:11603813-11604024(+)_40_80_+|genomic|L2-3_Crp::chr17:11603813-11604024(+)_40_80_+|peak_3628|L2-3_Crp::chr17:11603813-11604024(+)|40|80	54	12	31	8	8	60	26	28	26	19	50	16	8	38	6	21	21	31	29	71	14	37	8	9	26	25	18	7	29	23	19	34	67	13	143	32	53
L2::chr10:130943671-130943828(+)_40_60_+|genomic|L2::chr10:130943671-130943828(+)_40_60_+|peak_3629|L2::chr10:130943671-130943828(+)|40|60	23	13	2	1	2	3	2	3	32	13	17	40	0	14	2	15	18	17	17	27	5	7	2	3	4	4	1	1	0	3	13	25	13	10	21	22	17
L2::chr17:76508744-76509113(-)_200_240_+|genomic|L2::chr17:76508744-76509113(-)_200_240_+|peak_3630|L2::chr17:76508744-76509113(-)|200|240	84	8	23	6	2	0	6	10	8	5	14	8	1	9	3	3	7	4	17	15	6	4	5	8	0	15	0	1	29	9	5	8	15	19	16	8	11
L2::chr6:77677227-77677704(+)_240_260_+|genomic|L2::chr6:77677227-77677704(+)_240_260_+|peak_3631|L2::chr6:77677227-77677704(+)|240|260	0	11	4	1	0	14	1	3	17	18	15	52	6	19	5	18	26	23	0	54	5	5	6	3	7	0	0	2	0	3	21	27	23	8	36	26	21
L2a::chr10:52454703-52455679(+)_600_640_+|genomic|L2a::chr10:52454703-52455679(+)_600_640_+|peak_3632|L2a::chr10:52454703-52455679(+)|600|640	27	1	33	1	0	0	16	19	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	17	0	0	19	23	0	0	0	0	1	0	0
L2a::chr11:125179946-125180384(+)_140_180_+|genomic|L2a::chr11:125179946-125180384(+)_140_180_+|peak_3633|L2a::chr11:125179946-125180384(+)|140|180	11	8	0	2	2	6	3	3	26	25	14	30	1	17	2	16	25	19	25	29	5	1	5	1	4	3	0	3	4	3	23	26	23	20	32	17	12
L2a::chr11:21167669-21168152(+)_60_100_+|genomic|L2a::chr11:21167669-21168152(+)_60_100_+|peak_3634|L2a::chr11:21167669-21168152(+)|60|100	31	3	1	7	0	0	67	57	2	2	0	1	0	0	3	11	0	0	2	0	0	0	1	2	0	63	3	0	225	77	16	0	0	0	1	0	18
L2a::chr12:98378162-98379094(+)_860_900_+|genomic|L2a::chr12:98378162-98379094(+)_860_900_+|peak_3635|L2a::chr12:98378162-98379094(+)|860|900	44	19	19	7	0	0	20	20	18	20	36	24	2	44	18	23	27	28	12	26	6	5	13	10	0	24	0	0	26	24	21	33	90	41	66	56	36
L2a::chr1:197994571-197995272(-)_380_420_+|genomic|L2a::chr1:197994571-197995272(-)_380_420_+|peak_3636|L2a::chr1:197994571-197995272(-)|380|420	32	2	6	0	2	1	7	7	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	33	7	0	0	0	0	0	0	0
L2a::chr20:49436906-49437588(-)_240_260_+|genomic|L2a::chr20:49436906-49437588(-)_240_260_+|peak_3637|L2a::chr20:49436906-49437588(-)|240|260	1	26	1	4	0	0	74	82	3	2	3	1	0	1	1	1	0	0	0	1	0	0	0	1	0	87	0	0	13	94	14	1	2	0	1	0	11
L2a::chr2:160042849-160043339(-)_320_360_+|genomic|L2a::chr2:160042849-160043339(-)_320_360_+|peak_3638|L2a::chr2:160042849-160043339(-)|320|360	28	2	10	3	3	8	3	8	10	5	18	10	1	10	2	6	12	7	4	5	5	2	2	4	9	6	6	4	9	8	10	6	3	13	29	8	2
L2a::chrX:131012107-131012876(-)_140_160_+|genomic|L2a::chrX:131012107-131012876(-)_140_160_+|peak_3639|L2a::chrX:131012107-131012876(-)|140|160	0	2	1	4	0	0	84	95	4	1	0	2	0	0	7	8	1	1	1	0	0	0	0	0	0	86	0	0	31	95	30	3	0	0	2	0	6
L2b::chr1:151189309-151189577(-)_200_240_+|genomic|L2b::chr1:151189309-151189577(-)_200_240_+|peak_3640|L2b::chr1:151189309-151189577(-)|200|240	0	45	11	10	0	12	8	5	94	65	65	107	2	42	10	27	26	41	0	63	14	19	17	5	22	6	1	2	0	10	26	54	49	48	82	41	26
L2b::chr4:168674214-168674944(-)_500_540_+|genomic|L2b::chr4:168674214-168674944(-)_500_540_+|peak_3641|L2b::chr4:168674214-168674944(-)|500|540	9	8	0	0	0	0	27	27	0	2	0	1	0	0	0	2	0	0	0	1	0	1	1	0	0	30	0	0	35	30	2	0	1	0	0	1	1
L2b::chr5:118327598-118328229(-)_220_260_+|genomic|L2b::chr5:118327598-118328229(-)_220_260_+|peak_3642|L2b::chr5:118327598-118328229(-)|220|260	0	7	4	2	0	3	4	6	34	15	29	46	2	12	5	26	23	12	1	29	3	2	1	2	4	4	0	0	0	5	10	20	24	15	38	20	6
L2c::chr14:35661706-35661770(+)_40_64_+|genomic|L2c::chr14:35661706-35661770(+)_40_64_+|peak_3643|L2c::chr14:35661706-35661770(+)|40|64	9	11	6	9	0	0	5	7	13	16	36	15	1	29	4	19	31	26	46	45	5	7	2	3	0	7	2	0	7	7	19	49	54	25	92	22	40
L2c::chr14:71965255-71965625(-)_100_140_+|genomic|L2c::chr14:71965255-71965625(-)_100_140_+|peak_3644|L2c::chr14:71965255-71965625(-)|100|140	0	0	22	1	0	1	28	25	0	0	0	3	1	0	1	0	0	1	0	0	1	0	0	0	1	27	0	1	0	25	1	0	1	0	0	1	0
L2c::chr16:64447356-64447566(-)_40_80_+|genomic|L2c::chr16:64447356-64447566(-)_40_80_+|peak_3645|L2c::chr16:64447356-64447566(-)|40|80	45	34	42	16	42	74	30	38	70	72	77	131	36	86	17	48	54	72	40	124	11	11	16	14	107	43	52	37	25	42	54	80	73	35	136	75	47
L2c::chr16:6800926-6801006(+)_0_40_+|genomic|L2c::chr16:6800926-6801006(+)_0_40_+|peak_3646|L2c::chr16:6800926-6801006(+)|0|40	21	1	15	4	1	0	24	21	2	0	3	1	3	1	0	2	0	2	1	1	2	2	2	1	0	25	0	0	21	24	0	3	2	1	12	0	2
L2c::chr18:62068572-62068816(+)_120_140_+|genomic|L2c::chr18:62068572-62068816(+)_120_140_+|peak_3647|L2c::chr18:62068572-62068816(+)|120|140	2	8	3	6	0	0	34	35	2	2	1	0	0	0	0	8	0	1	0	1	0	0	0	1	0	37	0	0	37	35	1	0	1	0	0	0	3
L2c::chr5:30796660-30796825(-)_100_140_+|genomic|L2c::chr5:30796660-30796825(-)_100_140_+|peak_3648|L2c::chr5:30796660-30796825(-)|100|140	1	5	0	1	0	0	29	36	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	18	38	1	1	0	0	1	0	0
L2c::chrX:12745785-12746145(+)_240_280_+|genomic|L2c::chrX:12745785-12746145(+)_240_280_+|peak_3649|L2c::chrX:12745785-12746145(+)|240|280	2	25	3	36	0	0	83	88	7	3	3	1	0	0	1	96	0	0	0	0	0	2	0	0	0	85	0	1	37	113	52	4	0	0	0	0	36
L3::chr18:75787370-75787493(+)_20_60_+|genomic|L3::chr18:75787370-75787493(+)_20_60_+|peak_3650|L3::chr18:75787370-75787493(+)|20|60	41	53	16	18	9	9	12	10	165	142	106	199	4	65	59	73	104	104	103	215	13	6	17	32	22	12	10	4	15	10	80	135	96	89	134	143	92
L3::chr1:181399472-181399678(+)_160_200_+|genomic|L3::chr1:181399472-181399678(+)_160_200_+|peak_3651|L3::chr1:181399472-181399678(+)|160|200	20	8	9	4	0	0	6	8	12	4	24	3	0	11	1	9	12	17	5	20	12	5	5	5	0	8	0	0	7	7	9	14	34	21	22	13	14
L3::chr1:241332170-241332607(+)_160_200_+|genomic|L3::chr1:241332170-241332607(+)_160_200_+|peak_3652|L3::chr1:241332170-241332607(+)|160|200	26	8	10	5	0	0	11	10	12	4	16	15	1	12	3	10	13	17	12	12	2	1	9	4	0	13	0	0	21	16	10	7	28	11	29	17	18
